>,<`Angry| annoyed`hello
>.>`Suspicious| wary`hello
>.<`Frustrated| angry| upset| in pain`hello
>//<`Embarrassed| blushing`hello
>3`Evil but happy|Hate`hello
>:(`Angry`hello
>:)`Evil Grin`hello
[#1]`NumberOne`hello
[#1]`NumberOne`hello
[aff]`Affirmative`hello
[SLM, SLT, ELLO, JAMBO, G'DAY, HEYO, HI, LO, HEY, HGB, HIYA, IYA, AYYO, ORITE, NIHAO, HOLA, YELLO]`hello`hello
[SLM, SLT, ELLO, JAMBO, G'DAY, HEYO, HI, LO, HEY, HGB, HIYA, IYA, AYYO, ORITE, NIHAO, HOLA, YELLO]`hello`hello
[SLM, SLT, ELLO, JAMBO, G'DAY, HEYO, HI, LO, HEY, HGB, HIYA, IYA, AYYO, ORITE, NIHAO, HOLA, YELLO]`hello`hello
[SLM, SLT, ELLO, JAMBO, G'DAY, HEYO, HI, LO, HEY, HGB, HIYA, IYA, AYYO, ORITE, NIHAO, HOLA, YELLO]`hello`hello
[SLM, SLT, ELLO, JAMBO, G'DAY, HEYO, HI, LO, HEY, HGB, HIYA, IYA, AYYO, ORITE, NIHAO, HOLA, YELLO]`hello`hello
[SLM, SLT, ELLO, JAMBO, G'DAY, HEYO, HI, LO, HEY, HGB, HIYA, IYA, AYYO, ORITE, NIHAO, HOLA, YELLO]`hello`hello
[SLM, SLT, ELLO, JAMBO, G'DAY, HEYO, HI, LO, HEY, HGB, HIYA, IYA, AYYO, ORITE, NIHAO, HOLA, YELLO]`hello`hello
[SLM, SLT, ELLO, JAMBO, G'DAY, HEYO, HI, LO, HEY, HGB, HIYA, IYA, AYYO, ORITE, NIHAO, HOLA, YELLO]`hello`hello
[SLM, SLT, ELLO, JAMBO, G'DAY, HEYO, HI, LO, HEY, HGB, HIYA, IYA, AYYO, ORITE, NIHAO, HOLA, YELLO]`hello`hello
[SLM, SLT, ELLO, JAMBO, G'DAY, HEYO, HI, LO, HEY, HGB, HIYA, IYA, AYYO, ORITE, NIHAO, HOLA, YELLO]`hello`hello
[SLM, SLT, ELLO, JAMBO, G'DAY, HEYO, HI, LO, HEY, HGB, HIYA, IYA, AYYO, ORITE, NIHAO, HOLA, YELLO]`hello`hello
[SLM, SLT, ELLO, JAMBO, G'DAY, HEYO, HI, LO, HEY, HGB, HIYA, IYA, AYYO, ORITE, NIHAO, HOLA, YELLO]`hello`hello
[SLM, SLT, ELLO, JAMBO, G'DAY, HEYO, HI, LO, HEY, HGB, HIYA, IYA, AYYO, ORITE, NIHAO, HOLA, YELLO]`hello`hello
[SLM, SLT, ELLO, JAMBO, G'DAY, HEYO, HI, LO, HEY, HGB, HIYA, IYA, AYYO, ORITE, NIHAO, HOLA, YELLO]`hello`hello
